,Pustular Mat  1,Pustular Mat  2,Pustular Mat  3,Pustular Mat  4,Pustular Mat  5,Smooth Mat 1,Smooth Mat 2,Smooth Mat 3,Smooth Mat 4,Smooth Mat 5
K01801,0,0,0,1,0,0,0,0,0,0
K01819,0,0,0,0,0,0,0,0,0,1
K01832,0,0,0,0,0,1,0,0,0,0
K01836,0,0,0,1,0,0,0,0,0,0
K01839,0,0,0,0,1,0,0,0,0,0
K01844,0,0,0,0,0,0,0,0,1,0
K01851,0,0,1,0,0,0,0,0,0,0
K01852,0,0,0,0,0,0,0,1,0,0
K01884,0,0,0,0,0,0,0,1,0,0
K01930,0,0,0,0,0,1,0,0,0,0
K01935,0,0,1,0,0,0,0,0,0,0
K01946,0,0,0,0,0,1,0,0,0,0
K01975,0,0,0,0,0,0,0,0,0,1
K02019,0,1,0,0,0,0,0,0,0,0
K02043,0,0,0,0,0,0,0,0,1,0
K02072,0,0,1,0,0,0,0,0,0,0
K02079,0,0,0,0,0,1,0,0,0,0
K02083,0,0,0,0,0,1,0,0,0,0
K02086,0,0,0,0,0,0,0,1,0,0
K02089,0,0,0,0,0,0,0,1,0,0
K02100,0,0,0,0,0,0,0,0,1,0
K02101,0,0,0,0,0,0,0,0,0,1
K02103,0,0,0,0,0,0,0,0,0,1
K02122,0,0,0,0,0,0,0,1,0,0
K02131,0,0,0,0,0,0,0,0,1,0
K02134,0,0,0,0,0,0,0,0,1,0
K02138,0,0,0,0,0,1,0,0,0,0
K02149,0,0,0,0,0,1,0,0,0,0
K02156,0,0,0,1,0,0,0,0,0,0
K02161,0,0,0,0,1,0,0,0,0,0
K02163,0,0,0,0,1,0,0,0,0,0
K02192,0,0,1,0,0,0,0,0,0,0
K02194,0,0,0,0,0,0,0,1,0,0
K02209,0,0,0,0,0,0,0,1,0,0
K02210,0,0,0,0,0,1,0,0,0,0
K02212,0,0,0,0,0,0,0,0,1,0
K02332,0,0,0,0,1,0,0,0,0,0
K02352,0,0,0,0,0,0,0,0,1,0
K02353,0,0,0,1,0,0,0,0,0,0
K02370,0,0,0,0,0,0,0,1,0,0
K02374,0,0,1,0,0,0,0,0,0,0
K02383,0,0,0,0,0,0,0,1,0,0
K02385,0,0,0,0,0,0,0,1,0,0
K02386,0,0,1,0,0,0,0,0,0,0
K02413,0,0,1,0,0,0,0,0,0,0
K02421,0,0,1,0,0,0,0,0,0,0
K02423,0,0,1,0,0,0,0,0,0,0
K02489,0,0,0,0,0,0,0,1,0,0
K02525,0,0,0,0,0,1,0,0,0,0
K02530,0,0,0,0,0,0,0,0,0,1
K02531,0,0,1,0,0,0,0,0,0,0
K02550,0,0,1,0,0,0,0,0,0,0
K02569,0,0,0,0,0,0,0,1,0,0
K02573,0,0,0,0,0,0,0,0,1,0
K02578,0,0,1,0,0,0,0,0,0,0
K02579,0,0,0,0,0,0,0,1,0,0
K02589,0,0,0,0,0,1,0,0,0,0
K02616,0,0,0,1,0,0,0,0,0,0
K02626,0,0,0,0,0,0,0,1,0,0
K02647,0,0,1,0,0,0,0,0,0,0
K02673,0,0,0,0,0,0,0,0,1,0
K02696,0,0,0,0,0,1,0,0,0,0
K02711,0,0,0,0,0,0,0,1,0,0
K02723,0,0,0,0,0,0,0,0,0,1
K02724,0,0,0,0,1,0,0,0,0,0
K02731,0,0,0,0,0,0,0,1,0,0
K02733,0,0,1,0,0,0,0,0,0,0
K02736,0,0,0,0,0,1,0,0,0,0
K02737,0,0,0,0,1,0,0,0,0,0
K02747,0,0,0,0,1,0,0,0,0,0
K02749,0,0,0,0,0,0,0,0,0,1
K02750,0,0,0,0,0,0,0,0,0,1
K02755,0,0,0,0,0,1,0,0,0,0
K02756,0,0,0,0,0,1,0,0,0,0
K02757,0,0,0,0,0,1,0,0,0,0
K02759,0,0,0,0,1,0,0,0,0,0
K02760,0,0,1,0,0,0,0,0,0,0
K02774,0,0,1,0,0,0,0,0,0,0
K02775,0,0,1,0,0,0,0,0,0,0
K02796,0,0,0,0,1,0,0,0,0,0
K02822,0,0,1,0,0,0,0,0,0,0
K02827,0,0,0,0,0,0,0,0,0,1
K02854,0,0,0,0,0,0,0,0,0,1
K02855,0,0,0,0,0,0,0,0,0,1
K02900,0,0,0,0,1,0,0,0,0,0
K02901,0,0,0,0,1,0,0,0,0,0
K02917,0,0,0,0,0,0,0,0,0,1
K02920,0,0,0,0,1,0,0,0,0,0
K02922,0,0,0,1,0,0,0,0,0,0
K02924,0,0,0,0,0,0,0,1,0,0
K02943,0,0,0,0,0,0,0,0,0,1
K02962,0,0,0,0,0,1,0,0,0,0
K02969,0,0,0,0,1,0,0,0,0,0
K02971,0,0,0,0,0,0,0,0,0,1
K02978,0,0,0,0,0,1,0,0,0,0
K02980,0,0,0,0,0,0,0,1,0,0
K02983,0,0,0,1,0,0,0,0,0,0
K02985,0,0,0,0,0,1,0,0,0,0
K03012,0,0,0,0,0,0,0,0,0,1
K03013,0,0,0,0,0,1,0,0,0,0
K03014,0,0,0,0,0,0,0,1,0,0
K03026,0,0,0,0,0,1,0,0,0,0
K03029,0,1,0,0,0,0,0,0,0,0
K03030,0,0,0,1,0,0,0,0,0,0
K03036,0,0,0,0,1,0,0,0,0,0
K03039,0,0,0,0,0,1,0,0,0,0
K03048,0,0,0,0,1,0,0,0,0,0
K03055,0,0,0,0,0,0,0,1,0,0
K03061,0,0,0,0,0,1,0,0,0,0
K03064,0,0,0,0,1,0,0,0,0,0
K03133,0,0,0,0,0,1,0,0,0,0
K03139,0,0,0,0,0,0,0,1,0,0
K03144,0,0,0,0,1,0,0,0,0,0
K03165,0,0,0,0,1,0,0,0,0,0
K03166,0,0,0,0,0,0,0,1,0,0
K03167,0,0,0,0,0,0,0,1,0,0
K03175,0,0,0,0,0,0,0,0,1,0
K03186,0,0,0,0,0,0,0,1,0,0
K03187,0,0,0,1,0,0,0,0,0,0
K03190,0,0,0,0,0,0,0,0,1,0
K03203,0,0,1,0,0,0,0,0,0,0
K03204,0,0,0,0,1,0,0,0,0,0
K03214,0,0,0,0,0,0,0,1,0,0
K03236,0,0,0,0,0,0,0,1,0,0
K03238,0,0,0,0,0,0,0,1,0,0
K03239,0,0,0,0,0,0,0,1,0,0
K03249,0,0,0,0,0,0,0,0,1,0
K03250,0,0,0,1,0,0,0,0,0,0
K03264,0,0,0,0,0,0,0,1,0,0
K03285,0,0,0,0,0,0,0,1,0,0
K03290,0,0,1,0,0,0,0,0,0,0
K03304,0,0,0,0,0,0,0,1,0,0
K03311,0,0,1,0,0,0,0,0,0,0
K03312,0,0,1,0,0,0,0,0,0,0
K03326,0,0,0,1,0,0,0,0,0,0
K03341,0,0,0,0,0,0,0,1,0,0
K03350,0,0,1,0,0,0,0,0,0,0
K03354,0,0,0,0,0,1,0,0,0,0
K03355,0,0,0,0,1,0,0,0,0,0
K03363,0,0,0,0,0,0,0,1,0,0
K03396,0,0,1,0,0,0,0,0,0,0
K03418,0,0,0,0,1,0,0,0,0,0
K03425,0,0,0,0,0,0,0,1,0,0
K03429,0,0,0,0,0,0,0,1,0,0
K03430,0,0,0,0,0,0,0,0,0,1
K03435,0,0,0,0,0,0,0,1,0,0
K03440,0,0,0,0,0,1,0,0,0,0
K03459,0,0,0,0,0,0,0,1,0,0
K03471,0,0,0,1,0,0,0,0,0,0
K03475,0,0,1,0,0,0,0,0,0,0
K03476,0,1,0,0,0,0,0,0,0,0
K03488,0,0,1,0,0,0,0,0,0,0
K03532,0,0,0,0,0,0,0,1,0,0
K03586,0,0,1,0,0,0,0,0,0,0
K03591,0,0,1,0,0,0,0,0,0,0
K03626,0,0,0,0,0,0,0,1,0,0
K03629,0,0,0,0,1,0,0,0,0,0
K03643,0,0,1,0,0,0,0,0,0,0
K03647,0,0,0,0,0,0,0,0,0,1
K03649,0,0,0,0,0,1,0,0,0,0
K03658,0,0,0,0,0,1,0,0,0,0
K03660,0,0,1,0,0,0,0,0,0,0
K03662,0,0,0,0,0,1,0,0,0,0
K03668,0,0,0,0,0,1,0,0,0,0
K03669,0,0,0,0,1,0,0,0,0,0
K03670,0,0,1,0,0,0,0,0,0,0
K03673,0,0,0,0,0,0,0,0,1,0
K03691,0,0,0,0,1,0,0,0,0,0
K03707,0,1,0,0,0,0,0,0,0,0
K03708,0,0,1,0,0,0,0,0,0,0
K03715,0,0,0,0,1,0,0,0,0,0
K03754,0,0,0,1,0,0,0,0,0,0
K03758,0,0,1,0,0,0,0,0,0,0
K03765,0,0,0,1,0,0,0,0,0,0
K03788,0,0,1,0,0,0,0,0,0,0
K03803,0,0,0,0,1,0,0,0,0,0
K03814,0,0,1,0,0,0,0,0,0,0
K03829,0,0,0,1,0,0,0,0,0,0
K03837,0,0,0,0,0,0,0,1,0,0
K03844,0,0,0,1,0,0,0,0,0,0
K03851,0,0,0,0,0,0,0,0,0,1
K03853,0,0,0,0,0,1,0,0,0,0
K03870,0,0,0,0,0,0,0,0,0,1
K03882,0,0,0,0,0,0,0,1,0,0
K03911,0,0,1,0,0,0,0,0,0,0
K03912,0,0,1,0,0,0,0,0,0,0
K03913,0,0,1,0,0,0,0,0,0,0
K03927,0,0,0,0,0,0,0,1,0,0
K03930,0,0,1,0,0,0,0,0,0,0
K03942,0,0,0,0,0,0,0,1,0,0
K03955,0,0,0,0,0,1,0,0,0,0
K03962,0,0,0,0,0,0,0,1,0,0
K03965,0,0,0,0,0,1,0,0,0,0
K04001,0,0,1,0,0,0,0,0,0,0
K04007,0,0,1,0,0,0,0,0,0,0
K04017,0,0,0,0,1,0,0,0,0,0
K04018,0,0,0,0,1,0,0,0,0,0
K04022,0,0,0,0,0,0,0,0,1,0
K04081,0,0,0,0,1,0,0,0,0,0
K04082,0,0,0,0,1,0,0,0,0,0
K04083,0,0,0,0,0,0,0,1,0,0
K04095,0,0,0,0,0,0,0,1,0,0
K04103,0,0,0,0,0,0,0,0,0,1
K04105,0,0,0,0,1,0,0,0,0,0
K04110,0,0,0,0,1,0,0,0,0,0
K04121,0,0,0,0,1,0,0,0,0,0
K04128,0,0,0,0,0,1,0,0,0,0
K04153,0,0,0,0,0,1,0,0,0,0
K04157,0,0,0,0,0,1,0,0,0,0
K04209,0,0,0,0,0,0,0,0,1,0
K04226,0,0,0,1,0,0,0,0,0,0
K04248,0,0,0,0,0,0,0,1,0,0
K04255,0,0,1,0,0,0,0,0,0,0
K04337,0,0,0,0,0,0,0,0,0,1
K04348,0,0,0,0,0,0,0,0,1,0
K04405,0,0,0,0,0,0,0,1,0,0
K04413,0,0,0,0,0,0,0,0,1,0
K04424,0,0,0,1,0,0,0,0,0,0
K04426,0,0,0,0,0,0,0,1,0,0
K04438,0,0,0,0,0,1,0,0,0,0
K04444,0,0,0,0,0,1,0,0,0,0
K04454,0,0,0,0,0,1,0,0,0,0
K04457,0,0,0,0,0,1,0,0,0,0
K04468,0,0,0,1,0,0,0,0,0,0
K04469,0,0,1,0,0,0,0,0,0,0
K04497,0,0,0,0,1,0,0,0,0,0
K04511,0,0,1,0,0,0,0,0,0,0
K04550,0,0,0,0,1,0,0,0,0,0
K04560,0,0,0,0,0,1,0,0,0,0
K04568,0,0,0,0,1,0,0,0,0,0
K04570,0,0,0,0,1,0,0,0,0,0
K04572,0,0,0,0,0,1,0,0,0,0
K04574,0,0,0,0,0,0,0,1,0,0
K04577,0,0,0,1,0,0,0,0,0,0
K04593,0,0,0,0,0,1,0,0,0,0
K04603,0,0,1,0,0,0,0,0,0,0
K04640,0,0,0,0,0,0,0,0,0,1
K04674,0,0,0,0,0,1,0,0,0,0
K04698,0,0,0,0,0,0,0,1,0,0
K04699,0,0,1,0,0,0,0,0,0,0
K04702,0,0,0,1,0,0,0,0,0,0
K04708,0,0,0,1,0,0,0,0,0,0
K04712,0,0,0,1,0,0,0,0,0,0
K04713,0,0,0,0,0,0,0,0,0,1
K04723,0,0,0,0,0,1,0,0,0,0
K04727,0,0,0,0,0,0,0,0,1,0
K04735,0,0,0,0,0,0,0,0,0,1
K04754,0,0,0,0,0,1,0,0,0,0
K04783,0,0,0,0,0,0,0,1,0,0
K04792,0,0,0,1,0,0,0,0,0,0
K04794,0,0,0,0,0,0,0,1,0,0
K04796,0,0,0,0,1,0,0,0,0,0
K04828,0,0,0,0,0,1,0,0,0,0
K04829,0,0,0,0,0,1,0,0,0,0
K04830,0,0,0,0,0,1,0,0,0,0
K04831,0,0,0,0,0,1,0,0,0,0
K04832,0,0,0,0,0,1,0,0,0,0
K04850,0,0,0,1,0,0,0,0,0,0
K04853,0,0,0,1,0,0,0,0,0,0
K04857,0,0,0,1,0,0,0,0,0,0
K04909,0,0,0,0,0,1,0,0,0,0
K04911,0,0,0,0,0,0,0,0,0,1
K04947,0,0,0,0,0,0,0,1,0,0
K04959,0,0,0,0,0,1,0,0,0,0
K04960,0,0,0,0,0,1,0,0,0,0
K04961,0,0,0,1,0,0,0,0,0,0
K04963,0,0,0,1,0,0,0,0,0,0
K04967,0,0,0,0,0,1,0,0,0,0
K04981,0,0,1,0,0,0,0,0,0,0
K04988,0,0,0,1,0,0,0,0,0,0
K05011,0,0,0,0,0,0,0,0,1,0
K05012,0,0,0,1,0,0,0,0,0,0
K05015,0,0,0,0,0,0,0,0,0,1
K05034,0,0,0,1,0,0,0,0,0,0
K05084,0,0,0,0,0,1,0,0,0,0
K05093,0,0,0,1,0,0,0,0,0,0
K05096,0,0,0,0,0,1,0,0,0,0
K05121,0,0,0,1,0,0,0,0,0,0
K05218,0,0,0,0,0,0,0,0,0,1
K05249,0,0,1,0,0,0,0,0,0,0
K05273,0,0,0,1,0,0,0,0,0,0
K05275,0,0,0,1,0,0,0,0,0,0
K05288,0,0,0,0,0,1,0,0,0,0
K05323,0,0,0,1,0,0,0,0,0,0
K05330,0,0,0,0,0,0,0,1,0,0
K05338,0,0,0,0,0,1,0,0,0,0
K05339,0,0,0,0,0,1,0,0,0,0
K05340,0,0,0,0,0,0,0,0,0,1
K05359,0,0,0,1,0,0,0,0,0,0
K05360,0,0,0,0,0,1,0,0,0,0
K05361,0,0,0,0,0,0,0,1,0,0
K05375,0,0,0,0,1,0,0,0,0,0
K05409,0,0,0,0,0,0,0,0,1,0
K05430,0,0,0,0,0,1,0,0,0,0
K05522,0,0,1,0,0,0,0,0,0,0
K05526,0,0,0,0,1,0,0,0,0,0
K05541,0,0,1,0,0,0,0,0,0,0
K05542,0,0,0,0,1,0,0,0,0,0
K05544,0,0,0,0,0,0,0,1,0,0
K05576,0,0,0,1,0,0,0,0,0,0
K05589,0,0,1,0,0,0,0,0,0,0
K05595,0,0,1,0,0,0,0,0,0,0
K05609,0,0,0,0,1,0,0,0,0,0
K05610,0,0,0,0,0,1,0,0,0,0
K05629,0,0,0,0,0,1,0,0,0,0
K05632,0,0,0,0,1,0,0,0,0,0
K05636,0,0,0,0,0,1,0,0,0,0
K05638,0,0,0,0,0,1,0,0,0,0
K05648,0,1,0,0,0,0,0,0,0,0
K05657,0,0,1,0,0,0,0,0,0,0
K05659,0,0,0,0,0,0,0,0,1,0
K05676,0,0,0,0,1,0,0,0,0,0
K05691,0,0,0,0,0,1,0,0,0,0
K05702,0,0,0,0,0,1,0,0,0,0
K05712,0,0,1,0,0,0,0,0,0,0
K05719,0,0,0,1,0,0,0,0,0,0
K05720,0,0,0,0,0,0,0,1,0,0
K05728,0,0,0,0,0,0,0,0,1,0
K05749,0,0,0,0,0,0,0,0,0,1
K05762,0,0,0,0,0,0,0,1,0,0
K05763,0,0,0,0,0,0,0,1,0,0
K05769,0,0,0,0,0,0,0,0,0,1
K05784,0,0,0,0,0,0,0,0,0,1
K05786,0,0,0,1,0,0,0,0,0,0
K05809,0,0,0,0,0,1,0,0,0,0
K05819,0,0,1,0,0,0,0,0,0,0
K05833,0,0,0,0,0,0,0,0,1,0
K05834,0,0,1,0,0,0,0,0,0,0
K05836,0,0,1,0,0,0,0,0,0,0
K05862,0,0,0,0,0,1,0,0,0,0
K05886,0,0,1,0,0,0,0,0,0,0
K05898,0,0,0,0,1,0,0,0,0,0
K05957,0,0,0,0,0,0,0,1,0,0
K06006,0,0,0,0,0,0,0,0,1,0
K06030,0,0,1,0,0,0,0,0,0,0
K06034,0,0,0,0,0,0,0,1,0,0
K06054,0,0,0,1,0,0,0,0,0,0
K06059,0,0,0,0,0,1,0,0,0,0
K06066,0,0,0,0,0,1,0,0,0,0
K06075,0,0,0,0,0,0,0,1,0,0
K06077,0,0,0,1,0,0,0,0,0,0
K06093,0,0,0,0,0,1,0,0,0,0
K06096,0,0,0,0,0,0,0,1,0,0
K06113,0,0,0,0,0,0,0,0,1,0
K06121,0,0,0,0,0,0,0,0,0,1
K06122,0,0,0,0,0,0,0,1,0,0
K06123,0,0,0,0,1,0,0,0,0,0
K06132,0,0,1,0,0,0,0,0,0,0
K06134,0,0,0,0,0,0,0,0,1,0
K06137,0,1,0,0,0,0,0,0,0,0
K06151,0,0,0,0,1,0,0,0,0,0
K06155,0,0,1,0,0,0,0,0,0,0
K06157,0,0,1,0,0,0,0,0,0,0
K06172,0,0,0,0,0,1,0,0,0,0
K06184,0,0,0,1,0,0,0,0,0,0
K06190,0,0,0,0,0,1,0,0,0,0
K06191,0,0,0,1,0,0,0,0,0,0
K06195,0,0,0,0,1,0,0,0,0,0
K06196,0,0,1,0,0,0,0,0,0,0
K06206,0,0,0,0,0,1,0,0,0,0
K06211,0,0,1,0,0,0,0,0,0,0
K06234,0,0,0,0,0,0,0,1,0,0
K06235,0,0,0,0,0,1,0,0,0,0
K06240,0,0,0,0,0,0,0,0,1,0
K06254,0,0,0,0,0,0,0,0,0,1
K06258,0,0,0,1,0,0,0,0,0,0
K06277,0,0,0,1,0,0,0,0,0,0
K06313,0,0,0,0,0,0,0,0,1,0
K06338,0,0,0,0,0,1,0,0,0,0
K06350,0,0,0,0,0,0,0,0,0,1
K06351,0,0,0,0,0,1,0,0,0,0
K06370,0,0,0,0,0,0,0,0,0,1
K06373,0,1,0,0,0,0,0,0,0,0
K06377,0,0,0,0,0,0,0,1,0,0
K06413,0,0,0,1,0,0,0,0,0,0
K06422,0,0,0,0,1,0,0,0,0,0
K06443,0,0,0,0,0,0,0,1,0,0
K06472,0,0,1,0,0,0,0,0,0,0
K06473,0,0,1,0,0,0,0,0,0,0
K06478,0,0,1,0,0,0,0,0,0,0
K06515,0,0,0,0,0,0,0,0,1,0
K06518,0,0,0,0,0,1,0,0,0,0
K06568,0,0,0,0,0,1,0,0,0,0
K06573,0,0,0,0,0,0,0,0,1,0
K06580,0,0,0,1,0,0,0,0,0,0
K06601,0,0,0,1,0,0,0,0,0,0
K06608,0,0,0,0,0,0,0,0,0,1
K06617,0,0,0,0,1,0,0,0,0,0
K06627,0,0,0,0,0,0,0,0,0,1
K06665,0,0,0,0,0,0,0,1,0,0
K06669,0,0,0,0,0,1,0,0,0,0
K06677,0,0,1,0,0,0,0,0,0,0
K06682,0,0,0,0,1,0,0,0,0,0
K06704,0,0,0,0,1,0,0,0,0,0
K06709,0,0,0,0,0,0,0,0,1,0
K06720,0,0,0,0,0,1,0,0,0,0
K06726,0,0,0,0,0,0,0,1,0,0
K06738,0,0,1,0,0,0,0,0,0,0
K06739,0,0,1,0,0,0,0,0,0,0
K06740,0,0,1,0,0,0,0,0,0,0
K06748,0,0,1,0,0,0,0,0,0,0
K06784,0,0,1,0,0,0,0,0,0,0
K06813,0,0,1,0,0,0,0,0,0,0
K06816,0,0,0,0,1,0,0,0,0,0
K06839,0,0,0,0,0,0,0,0,1,0
K06841,0,0,0,0,1,0,0,0,0,0
K06842,0,0,0,1,0,0,0,0,0,0
K06869,0,0,0,0,0,0,0,1,0,0
K06886,0,0,1,0,0,0,0,0,0,0
K06893,0,0,0,1,0,0,0,0,0,0
K06895,0,0,0,0,0,1,0,0,0,0
K06896,0,0,1,0,0,0,0,0,0,0
K06904,0,0,0,0,0,0,0,1,0,0
K06924,0,0,0,1,0,0,0,0,0,0
K06928,0,0,0,0,0,0,0,1,0,0
K06961,0,0,0,0,0,0,0,0,1,0
K06965,0,0,1,0,0,0,0,0,0,0
K06967,0,0,0,0,0,0,0,0,1,0
K06975,0,0,1,0,0,0,0,0,0,0
K06977,0,0,1,0,0,0,0,0,0,0
K06981,0,0,0,0,0,0,0,1,0,0
K06982,0,0,0,0,0,0,0,1,0,0
K06983,0,0,0,1,0,0,0,0,0,0
K07002,0,0,0,0,0,0,0,1,0,0
K07014,0,0,1,0,0,0,0,0,0,0
K07015,0,0,0,1,0,0,0,0,0,0
K07020,0,0,0,0,1,0,0,0,0,0
K07039,0,0,0,0,0,0,0,1,0,0
K07044,0,0,1,0,0,0,0,0,0,0
K07055,0,0,0,0,0,1,0,0,0,0
K07063,0,0,0,0,0,0,0,1,0,0
K07072,0,0,1,0,0,0,0,0,0,0
K07077,0,1,0,0,0,0,0,0,0,0
K07094,0,0,0,0,0,0,0,1,0,0
K07104,0,0,0,0,0,0,0,1,0,0
K07106,0,0,0,0,0,0,0,0,0,1
K07118,0,0,1,0,0,0,0,0,0,0
K07120,0,0,1,0,0,0,0,0,0,0
K07137,0,0,0,0,0,0,0,0,0,1
K07149,0,0,1,0,0,0,0,0,0,0
K07156,0,0,1,0,0,0,0,0,0,0
K07160,0,0,0,0,1,0,0,0,0,0
K07177,0,0,1,0,0,0,0,0,0,0
K07179,0,0,0,0,0,0,0,1,0,0
K07200,0,0,0,1,0,0,0,0,0,0
K07214,0,0,0,1,0,0,0,0,0,0
K07225,0,0,1,0,0,0,0,0,0,0
K07234,0,0,0,0,0,0,0,0,1,0
K07241,0,0,1,0,0,0,0,0,0,0
K07242,0,0,0,0,0,0,0,0,1,0
K07248,0,0,1,0,0,0,0,0,0,0
K07262,0,0,1,0,0,0,0,0,0,0
K07264,0,0,0,1,0,0,0,0,0,0
K07271,0,0,1,0,0,0,0,0,0,0
K07272,0,0,1,0,0,0,0,0,0,0
K07274,0,0,0,0,0,1,0,0,0,0
K07283,0,0,0,0,0,0,0,0,1,0
K07287,0,0,1,0,0,0,0,0,0,0
K07298,0,0,0,1,0,0,0,0,0,0
K07311,0,0,0,0,0,0,0,0,0,1
K07318,0,0,0,0,0,1,0,0,0,0
K07322,0,0,0,0,0,1,0,0,0,0
K07324,0,0,0,0,0,1,0,0,0,0
K07346,0,0,0,0,1,0,0,0,0,0
K07364,0,0,0,0,0,0,0,0,1,0
K07396,0,0,0,0,0,0,0,1,0,0
K07424,0,0,0,0,0,1,0,0,0,0
K07432,0,0,0,0,0,1,0,0,0,0
K07434,0,0,1,0,0,0,0,0,0,0
K07463,0,0,0,0,0,0,0,1,0,0
K07465,0,0,1,0,0,0,0,0,0,0
K07475,0,0,0,0,0,0,0,0,0,1
K07503,0,0,0,1,0,0,0,0,0,0
K07513,0,0,0,0,0,0,0,0,1,0
K07521,0,0,0,0,0,0,0,1,0,0
K07527,0,0,0,0,0,0,0,0,1,0
K07532,0,0,0,0,0,1,0,0,0,0
K07540,0,0,0,0,0,0,0,0,0,1
K07548,0,0,0,0,0,0,0,1,0,0
K07572,0,0,0,0,0,0,0,1,0,0
K07574,0,0,1,0,0,0,0,0,0,0
K07578,0,0,0,0,0,0,0,0,0,1
K07589,0,0,0,0,0,0,0,1,0,0
K07592,0,0,1,0,0,0,0,0,0,0
K07610,0,0,0,0,0,0,0,1,0,0
K07648,0,0,0,1,0,0,0,0,0,0
K07651,0,0,0,0,0,0,0,1,0,0
K07654,0,0,1,0,0,0,0,0,0,0
K07656,0,0,0,1,0,0,0,0,0,0
K07673,0,0,0,0,0,0,0,0,1,0
K07674,0,0,0,0,0,0,0,0,1,0
K07682,0,0,0,0,0,0,0,0,0,1
K07683,0,0,0,0,0,0,0,1,0,0
K07690,0,0,0,1,0,0,0,0,0,0
K07691,0,0,0,0,1,0,0,0,0,0
K07699,0,0,0,0,0,0,0,0,1,0
K07721,0,0,0,0,0,0,0,1,0,0
K07722,0,0,0,0,1,0,0,0,0,0
K07724,0,0,0,1,0,0,0,0,0,0
K07756,0,0,0,0,0,1,0,0,0,0
K07762,0,0,0,0,1,0,0,0,0,0
K07766,0,0,0,1,0,0,0,0,0,0
K07767,0,0,0,0,0,0,0,1,0,0
K07782,0,0,0,0,0,0,0,1,0,0
K07783,0,0,1,0,0,0,0,0,0,0
K07784,0,0,1,0,0,0,0,0,0,0
K07791,0,0,1,0,0,0,0,0,0,0
K07792,0,0,1,0,0,0,0,0,0,0
K07809,0,0,0,0,0,0,0,1,0,0
K07817,0,0,0,0,0,0,0,1,0,0
K07819,0,0,0,0,0,0,0,1,0,0
K07821,0,0,0,0,0,0,0,1,0,0
K07834,0,0,0,0,0,1,0,0,0,0
K07836,0,0,0,0,0,0,0,0,1,0
K07865,0,0,0,0,0,1,0,0,0,0
K07879,0,0,0,0,0,0,0,0,1,0
K07889,0,0,0,0,0,0,0,0,0,1
K07891,0,0,0,0,0,0,0,0,0,1
K07899,0,0,0,0,0,0,0,1,0,0
K07900,0,0,0,0,0,0,0,1,0,0
K07903,0,0,0,0,0,0,0,0,0,1
K07905,0,1,0,0,0,0,0,0,0,0
K07913,0,0,0,0,1,0,0,0,0,0
K07918,0,0,0,0,0,0,0,1,0,0
K07919,0,0,0,0,0,0,0,1,0,0
K07920,0,0,0,0,0,0,0,1,0,0
K07924,0,0,0,0,0,0,0,1,0,0
K07925,0,0,0,0,0,0,0,1,0,0
K07941,0,0,1,0,0,0,0,0,0,0
K07942,0,0,0,0,0,0,0,1,0,0
K07950,0,0,0,0,0,0,0,1,0,0
K08007,0,0,0,0,0,0,0,1,0,0
K08049,0,0,0,0,0,1,0,0,0,0
K08061,0,0,0,0,0,0,0,0,1,0
K08075,0,0,0,0,0,0,0,1,0,0
K08091,0,0,0,0,0,1,0,0,0,0
K08104,0,0,0,0,0,0,0,1,0,0
K08131,0,0,0,1,0,0,0,0,0,0
K08138,0,0,0,1,0,0,0,0,0,0
K08139,0,0,0,1,0,0,0,0,0,0
K08152,0,0,0,0,1,0,0,0,0,0
K08153,0,0,0,0,0,1,0,0,0,0
K08159,0,0,0,0,0,1,0,0,0,0
K08161,0,0,0,1,0,0,0,0,0,0
K08162,0,0,0,0,0,0,0,0,1,0
K08166,0,0,1,0,0,0,0,0,0,0
K08169,0,0,1,0,0,0,0,0,0,0
K08176,0,0,0,1,0,0,0,0,0,0
K08182,0,0,0,0,0,1,0,0,0,0
K08195,0,0,1,0,0,0,0,0,0,0
K08198,0,0,0,0,1,0,0,0,0,0
K08202,0,0,0,1,0,0,0,0,0,0
K08209,0,0,0,0,0,1,0,0,0,0
K08225,0,0,1,0,0,0,0,0,0,0
K08227,0,0,1,0,0,0,0,0,0,0
K08272,0,0,0,0,1,0,0,0,0,0
K08280,0,0,0,0,0,1,0,0,0,0
K08283,0,0,0,0,0,0,0,0,1,0
K08287,0,0,0,0,1,0,0,0,0,0
K08293,0,0,0,0,1,0,0,0,0,0
K08305,0,0,0,1,0,0,0,0,0,0
K08312,0,0,1,0,0,0,0,0,0,0
K08315,0,0,0,0,1,0,0,0,0,0
K08333,0,0,0,0,0,0,0,1,0,0
K08343,0,0,0,1,0,0,0,0,0,0
K08355,0,0,0,0,1,0,0,0,0,0
K08360,0,0,0,0,0,0,0,0,1,0
K08451,0,0,0,0,0,1,0,0,0,0
K08458,0,0,1,0,0,0,0,0,0,0
K08469,0,0,0,0,0,1,0,0,0,0
K08476,0,0,0,0,1,0,0,0,0,0
K08484,0,0,0,0,0,0,0,1,0,0
K08486,0,0,0,0,0,1,0,0,0,0
K08488,0,0,0,0,0,1,0,0,0,0
K08490,0,0,0,0,0,0,0,1,0,0
K08493,0,0,0,0,0,0,0,0,1,0
K08517,0,0,0,0,1,0,0,0,0,0
K08564,0,0,0,0,1,0,0,0,0,0
K08568,0,0,0,0,1,0,0,0,0,0
